id,WT_Veh1,WT_Veh2,WT_Veh3,WT_E2-1,WT_E2-2,WT_E2-3,baseMean
AKNA,3.47752,3.16352,3.46865,3.82492,3.92532,3.21215,3.512013333
DNAH9,0.00780073,0,0,0,0.0176521,0,0.004242138
MEIG1,1.1466,0.639862,0.972036,0.610156,0.775476,1.06749,0.868603333
CYP26C1,0,0,0,0,0,0,0
AC006132.1,0.87816,0.537094,0.575206,0.409776,0.516053,0.797106,0.618899167
SFRP5,0,0,0,0,0,0,0
SGK2,0.114594,0.0513081,0.193495,0.0491837,0.0907505,0.0917637,0.098515833
LYRM2,25.8193,29.9333,26.0021,28.9468,26.8881,26.84,27.40493333
TDRD1,0,0,0,0,0,0,0
HOXB2,0.309541,0.228713,0.344066,0.398307,0.414027,0.454392,0.358174333
AMD1,21.8266,23.4005,22.4396,37.771,32.915,38.0185,29.3952
CYP4A11,0,0,0,0.0149127,0,0,0.00248545
ZDHHC6,17.7737,18.6515,18.2183,18.8248,18.3582,19.1305,18.49283333
DDX3X,100.394,106.24,98.9226,101.721,104.324,99.4919,101.8489167
ZFAND4,1.17348,1.11893,1.23605,1.26569,1.26079,1.11732,1.195376667
MSR1,0,0,0,0,0,0,0
RAET1E,0.0524114,0.102804,0.0886488,0.202723,0.123865,0.102987,0.112239867
ACTL9,0,0,0,0,0,0,0
CCDC60,0.0306743,0,0.0133947,0,0.0115721,0,0.009273517
PCBP2,527.558,520.551,524.156,480.841,494.967,494.593,507.111
LNP1,1.01633,1.27184,1.14575,1.06854,1.15322,1.28096,1.156106667
AP3M2,6.36334,8.22763,6.65503,8.0345,7.22849,7.95131,7.41005
BX088651.2,0,0,0,6.24212,0,0,1.040353333
XYLT2,15.4383,12.7765,14.7381,18.4092,13.0083,13.6897,14.67668333
DENND2A,0,0.0391503,0.0482603,0.0743993,0.0435597,0.0263361,0.038617617
ADRA2C,10.607,9.82654,12.3307,9.93127,9.98033,10.2282,10.48400667
PDE6H,0,0.0450226,0,0,0,0,0.007503767
RP11-685N3.1,0,0,0,0,0,0,0
MED31,10.1027,11.3436,11.5486,11.893,11.7243,11.0464,11.27643333
C6orf52,4.94734,6.41498,5.91119,5.78214,3.16531,3.83331,5.009045
JAK3,0.245803,0.20009,0.258757,0.195262,0.208645,0.2617,0.228376167
SPDL1,13.6942,15.2926,13.1257,16.6465,14.8814,15.4,14.84006667
CLIC4,25.3889,25.1063,24.1285,25.9603,23.9559,28.5696,25.51825
ECSCR,0,0,0,0,0,0,0
AC037459.4,5.93E-66,0.448454,3.30E-51,2.52E-81,0.0953939,2.28E-113,0.090641317
ANKRD11,33.465,29.731,30.9368,25.9998,27.4913,27.6574,29.21355
VIL1,0.183839,0.2345,0.323717,0.444406,0.179707,0.0646243,0.23846555
S1PR4,0.0165349,0.0350583,0.0433224,0,0.0187138,0.0410766,0.025784333
DFFB,4.01836,3.66888,4.1252,4.17244,3.84607,4.47653,4.051246667
KRTAP5-7,0.165944,0.140738,0.173913,0.234885,0.112687,0.309183,0.189558333
CYTL1,0,0,0,0,0,0,0
CXCR4,10.5543,10.9319,10.8999,8.75905,8.9067,10.43,10.08030833
TSTD2,9.07423,9.25716,8.35996,9.31988,8.85466,8.86314,8.954838333
GPR157,21.9353,25.5981,15.0121,17.9805,14.1987,19.4249,19.02493333
