ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000007866,398.2262493,-1.077434087,0.065236355,-16.51585361,2.82E-61,1.08E-59
ENSG00000007923,1101.862718,0.33882643,0.056119264,6.037613615,1.56E-09,8.32E-09
ENSG00000007944,766.1226791,-0.84352973,0.052820708,-15.96967864,2.08E-57,7.18E-56
ENSG00000007968,548.3145564,0.273691252,0.062210719,4.399422769,1.09E-05,3.96E-05
ENSG00000008018,2206.619199,0.258196026,0.057672987,4.476897051,7.57E-06,2.81E-05
ENSG00000008083,990.4166672,0.163123895,0.04436551,3.676817764,0.000236162,0.000733643
ENSG00000008086,165.9316687,-0.906624308,0.117369254,-7.724546901,1.12E-14,8.51E-14
ENSG00000008128,368.9137084,0.24127715,0.096044136,2.512148695,0.011999851,0.027772706
ENSG00000008130,1332.149041,0.06005474,0.041858116,1.434721519,0.151366469,0.254597337
ENSG00000008226,28.29034932,-0.219635106,0.208254538,-1.054647396,0.291586618,0.430231472
ENSG00000008256,219.4265603,0.882127612,0.097845898,9.015478717,1.96E-19,1.95E-18
ENSG00000008277,434.4467175,0.35040248,0.076497474,4.580575807,4.64E-06,1.76E-05
ENSG00000008282,2352.876218,-0.077915264,0.0637587,-1.222033439,0.221694982,0.345997657
ENSG00000008283,3072.364352,-0.291842665,0.04117371,-7.088082793,1.36E-12,9.02E-12
ENSG00000008294,2151.132802,0.008140466,0.050422604,0.16144478,0.8717431,0.918713766
ENSG00000008300,718.2249246,-0.667249628,0.064217355,-10.39048752,2.74E-25,3.55E-24
ENSG00000008323,186.4859935,-0.211416028,0.093627555,-2.258053496,0.023942324,0.051650603
ENSG00000008324,408.0865325,0.310416395,0.070118531,4.427023648,9.55E-06,3.51E-05
ENSG00000008382,326.1661822,-0.070640738,0.080431994,-0.878266642,0.379799034,0.524539053
ENSG00000008394,1367.960292,0.061151043,0.061121955,1.000475897,0.317080256,0.458396244
ENSG00000008405,477.2750094,0.159186712,0.067636888,2.353548716,0.018595171,0.041156004
ENSG00000008441,335.3738569,-0.538180821,0.072930329,-7.379382895,1.59E-13,1.12E-12
ENSG00000008513,145.4497528,-1.255219019,0.124968669,-10.04426971,9.74E-24,1.18E-22
ENSG00000008516,42.89263451,-0.461624229,0.173640526,-2.658505125,0.007848816,0.018877375
ENSG00000008517,86.43115888,0.338999861,0.13552697,2.50134612,0.01237222,0.028548212
ENSG00000008710,1920.102608,0.128725652,0.088756943,1.450316428,0.1469703,0.248381619
ENSG00000008735,133.2293647,-0.143085495,0.123304153,-1.160427214,0.245874912,0.376644238
ENSG00000008838,610.2252846,0.456924244,0.062175317,7.348965284,2.00E-13,1.40E-12
ENSG00000008853,399.6696107,-1.09876016,0.075231623,-14.60503064,2.61E-48,7.23E-47
ENSG00000008869,760.5585697,-0.647348437,0.052446933,-12.34292255,5.32E-35,1.00E-33
ENSG00000008952,2924.96161,0.026162216,0.059095897,0.442707821,0.657977085,0.769780395
ENSG00000008988,6605.513627,0.147789235,0.047792512,3.092309399,0.001986057,0.005312432
ENSG00000009307,62449.21144,0.119596953,0.052150038,2.293324386,0.021829336,0.047606802
ENSG00000009335,3742.795494,0.036843363,0.049364706,0.7463503,0.455455833,0.598932869
ENSG00000009413,1141.985301,-0.178796271,0.048872193,-3.658445848,0.000253749,0.000783661
ENSG00000009780,153.3056988,-0.187906602,0.107899617,-1.741494612,0.081596917,0.151008283
ENSG00000009830,545.4658327,0.349316058,0.067566298,5.169974788,2.34E-07,1.03E-06
ENSG00000009844,1146.913401,0.055367058,0.071356433,0.775922441,0.437794781,0.582196586
ENSG00000009950,129.7516119,0.771978326,0.154064966,5.010732459,5.42E-07,2.28E-06
